,total_per_value,percentage_no,percentage_yes,%variation_no,%variation_yes,columns
Letter,6234.0,0.968,0.032,2.5,-43.0,
Postcard,6349.0,0.921,0.079,-2.4,41.199999999999996,
1,,,,,,Letter
2,,,,,,Postcard
