,total_per_value,percentage_no,percentage_yes,%variation_no,%variation_yes
1,392,0.921,0.079,-2.4,41.199999999999996
2,1908,0.949,0.051,0.5,-8.9
3,3971,0.94,0.06,-0.4,7.199999999999999
4,3935,0.945,0.055,0.1,-1.7999999999999998
5,2006,0.95,0.05,0.6,-10.7
6,370,0.954,0.046,1.0999999999999999,-17.9
