,total_per_value,percentage_no,percentage_yes,%variation_no,%variation_yes,columns
High,3174,0.963,0.037,2.0,-34.0,High
Low,3104,0.917,0.083,-2.9000000000000004,48.3,Low
Medium,6305,0.948,0.052,0.4,-7.199999999999999,Medium
