,total_per_value,percentage_no,percentage_yes,%variation_no,%variation_yes,columns
1,9586,0.943,0.057,-0.1,1.7999999999999998,1
2,2797,0.946,0.054,0.2,-3.5999999999999996,2
3,200,0.96,0.04,1.7000000000000002,-28.599999999999998,3
