,No,Yes,column_names
count,12583.0,12583.0,count
mean,0.9441309979264866,0.05586900207358137,mean
std,0.023263085363676758,0.02326308536368016,std
min,0.9210804744904713,0.032393260447838544,min
25%,0.9210804744904713,0.032393260447838544,25%
50%,0.9210804744904713,0.07891952550952876,50%
75%,0.9676067395521615,0.07891952550952876,75%
max,0.9676067395521615,0.07891952550952876,max
