,total_per_value,percentage_no,percentage_yes,%variation_no,%variation_yes,columns
1,4303,0.942,0.058,-0.2,3.5999999999999996,1
2,5578,0.946,0.054,0.2,-3.5999999999999996,2
3,2331,0.943,0.057,-0.1,1.7999999999999998,3
4,371,0.943,0.057,-0.1,1.7999999999999998,4
