,precision,recall,f1-score,support,column_names
No,0.9442771084337349,0.6177339901477833,0.7468731387730794,5075.0,No
Yes,0.06415822479498312,0.41823899371069184,0.11125052279381013,318.0,Yes
accuracy,0.6059707027628407,0.6059707027628407,0.6059707027628407,0.6059707027628407,accuracy
macro avg,0.504217666614359,0.5179864919292376,0.42906183078344473,5393.0,macro avg
weighted avg,0.8923806120500666,0.6059707027628408,0.7093934443763785,5393.0,weighted avg
