,precision,recall,f1-score,support,column_names
No,0.9695481335952849,0.7061348595957789,0.8171375349270414,5591.0,No
Yes,0.11714132186996239,0.6374269005847953,0.1979119382660009,342.0,Yes
accuracy,0.7021742794539019,0.7021742794539019,0.7021742794539019,0.7021742794539019,accuracy
macro avg,0.5433447277326237,0.6717808800902871,0.5075247365965212,5933.0,macro avg
weighted avg,0.9204122614209954,0.7021742794539019,0.7814430879258488,5933.0,weighted avg
