,precision,recall,f1-score,support,column_names
No,0.9410346745781568,1.0,0.9696217042414979,5075.0,No
Yes,0.0,0.0,0.0,318.0,Yes
accuracy,0.9410346745781568,0.9410346745781568,0.9410346745781568,0.9410346745781568,accuracy
macro avg,0.4705173372890784,0.5,0.4848108521207489,5393.0,macro avg
weighted avg,0.8855462587584175,0.9410346745781568,0.9124476449148158,5393.0,weighted avg
