,precision,recall,f1-score,support,column_names
No,0.9425248609472442,1.0,0.9704121475054229,5592.0,No
Yes,0.0,0.0,0.0,341.0,Yes
accuracy,0.9425248609472442,0.9425248609472442,0.9425248609472442,0.9425248609472442,accuracy
macro avg,0.4712624304736221,0.5,0.48520607375271146,5933.0,macro avg
weighted avg,0.888353113503622,0.9425248609472442,0.9146375743890653,5933.0,weighted avg
